FundName,TargetName,FundID,Permno,NCUSIP,gv_str,Date13D,DateCross5pct,Year,Gvkey
ICAHN CARL,"MOTOROLA MOBILITY HOLDINGS, INC",30,12456,62009710,186106,20110112,20110104,2011,186106
MFP INVESTORS LLC,FRANKLIN FINANCIAL CORP.,883,12688,35353C10,186084,20141126,-99,2014,186084
,FRANKLIN FINANCIAL CORP,118,12688,35353C102,186084,20120223,20120215,2012,186084
ORBIMED ADVISORS LLC,AMBIT BIOSCIENCES CORP,593,13920,02318X100,185857,20130530,20130520,2013,185857
SHAH CAPITAL MANAGEMENT,CHINA XINIYA FASHION LTD,715,12367,16950W105,185855,20120815,20120809,2012,185855
FJ CAPITAL LLC,"SP BANCORP, INC.",451,12406,78468K106,185827,20120604,20120601,2012,185827
STILLWELL PARTNERS,"SP BANCORP, INC.",76,12406,78468K10,185827,20110228,20110217,2011,185827
PERSHING SQUARE CAPITAL MANAGEMENT LP,THE HOWARD HUGHES CORPORATION,54,12373,44267D10,185797,20101119,20101109,2010,185797
BULLDOG CAPITAL MANAGEMENT LP,"IMPERIAL HOLDINGS, INC.",49,12557,452834104,185416,20120308,20120227,2012,185416
NANTAHALA CAPITAL MANAGEMENT LLC,"IMPERIAL HOLDINGS, INC.",498,12557,452834104,185416,20120510,20120510,2012,185416
GUGGENHEIM INVESTMENT MANAGEMENT LLC,"DIAMOND RESORTS INTERNATIONAL, INC.",139,14017,25272T104,185363,20130805,20130724,2013,185363
DISCOVERY GROUP LLC,"HORIZON PHARMA, INC.",21,12919,44047T109,185355,20120813,20120802,2012,185355
BLUE HARBOUR GROUP LP,BABCOCK & WILCOX CO,135,10220,05615F102,185229,20140501,20140421,2014,185229
MASON CAPITAL MANAGEMENT,BABCOCK & WILCOX CO,171,10220,05615F10,185229,20101018,20101018,2010,185229
STARBOARD VALUE LP,THE BABCOCK & WILCOX COMPANY,539,10220,05615F10,185229,-99,-99,,185229
LANE FIVE CAPITAL MANAGEMENT LP,BODY CENTRAL CORP.,483,12349,09689U10,185227,20140404,20140328,2014,185227
SOLAS CAPITAL MANAGEMENT LLC,BODY CENTRAL CORP.,875,12349,09689U10,185227,20140523,20140521,2014,185227
DISCOVERY GROUP LLC,"BRAVO BRIO RESTAURANT GROUP, INC.",21,12348,10567B109,185194,20131205,20131125,2013,185194
RMCP GP LLC,"BRAVO BRIO RESTAURANT GROUP, INC.",266,12348,10567B109,185194,20130520,20130509,2013,185194
PINE RIVER CAPITAL MANAGEMENT LP,CAMELOT INFORMATION SYSTEMS INC.,624,10223,13322V105,185166,20131015,20131003,2013,185166
STILLWELL PARTNERS,STANDARD FINANCIAL CORP.,76,12362,85339310,185113,20101018,20101007,2010,185113
CANNELL CAPITAL MANAGEMENT LLC,"CRUMBS BAKE SHOP, INC.",13,12883,2.29E+08,185083,20131015,20131003,2013,185083
ICAHN CARL,MOTRICITY INC,30,93433,620107102,184994,20121019,20121011,2012,184994
KINGSTOWN CAPITAL MANAGEMENT LP,"FURIEX PHARMACEUTICALS, INC.",477,93392,36106P10,184961,20100709,20100701,2010,184961
TYNDALL CAPITAL PARTNERS LP,"FURIEX PHARMACEUTICALS, INC.",556,93392,36106P10,184961,20100628,20100616,2010,184961
JHL CAPITAL GROUP LLC,"REALPAGE, INC.",743,12089,75606N10,184797,20141103,-99,2014,184797
ALTAI CAPITAL MANAGEMENT LP,"INTRALINKS HOLDINGS, INC.",691,12051,46118H104,184676,20130723,20130723,2013,184676
DISCOVERY GROUP LLC,"INTRALINKS HOLDINGS, INC.",21,12051,46118H10,184676,20111202,20111122,2011,184676
STARBOARD VALUE LP,REALD INC.,539,12011,75604L105,184673,20140502,20140422,2014,184673
ALTAI CAPITAL MANAGEMENT LP,REALD INC.,691,12011,75604L105,184673,20140207,20140205,2014,184673
SAGEVIEW CAPITAL LP,"PERNIX THERAPEUTICS HOLDINGS, INC.",645,84581,71426V108,184487,20120507,20120426,2012,184487
MAIN STREET PARTNERS LP,OASIS PETROLEUM INC.,73,93420,674215108,184442,20141229,20141217,2014,184442
RED OAK PARTNERS LLC,"UNITEK GLOBAL SERVICES, INC.",300,88806,91324T302,184241,20140626,20140616,2014,184241
DISCOVERY GROUP LLC,"CONVIO, INC.",21,93349,21257W10,184219,20110527,20110517,2011,184219
JAT CAPITAL MANAGEMENT LP,MADISON SQUARE GARDEN COMPANY,830,93233,55826P10,184157,20140822,20140812,2014,184157
GAMCO ASSET MANAGEMENT,"MADISON SQUARE GARDEN, INC.",105,93233,55826P10,184157,20100212,20100210,2010,184157
FINANCIAL EDGE FUND,ATHENS BANCSHARES CORP,122,93224,4704210,184117,20110815,20110808,2011,184117
SANDLER CAPITAL MANAGEMENT,ATHENS BANCSHARES CORP,156,93224,4704210,184117,20100122,20100111,2010,184117
DISCOVERY GROUP LLC,REACHLOCAL INC,21,93400,75525F104,184068,20140321,20140312,2014,184068
POTOMAC CAPITAL PARTNERS II LP,MERU NETWORKS INC,131,93307,59047Q103,184057,20131204,20131127,2013,184057
VERTEX CAPITAL ADVISORS LLC,"MERU NETWORKS, INC.",745,93307,59047Q10,184057,-99,-99,,184057
SANDELL ASSET MANAGEMENT,SEMGROUP CORPORATION,69,12384,81663A10,184035,-99,-99,,184035
VICIS CAPITAL LLC,CHINA HYDROELECTRIC CORP,557,93202,16949D10,184018,20100208,20100125,2010,184018
STARBOARD VALUE LP,AOL INC.,539,93091,00184X105,183920,20120216,20120214,2012,183920
KEYWISE CAPITAL MANAGEMENT LTD,"2020 CHINACAP ACQUIRCO, INC.",475,92507,90212G10,183735,20090904,20090826,2009,183735
KEYWISE CAPITAL MANAGEMENT LTD,EXCEED CO LTD.,475,92507,G3233510,183735,20091028,20090910,2009,183735
AVENIR CORP,IRIDIUM COMMUNICATIONS INC.,795,92596,46269C10,183640,20131113,-99,2013,183640
TILSON GROWTH FUND LP,IRIDIUM COMMUNICATIONS INC.,169,92596,46269C10,183640,20110621,20110620,2011,183640
RANGELEY CAPITAL LLC,"OBA FINANCIAL SERVICES, INC.",797,93235,67424G10,183580,20131227,20131223,2013,183580
,"OBA FINANCIAL SERVICES, INC.",118,93235,67424G10,183580,20100526,20100518,2010,183580
DISCOVERY GROUP LLC,"GAIN CAPITAL HOLDINGS, INC.",21,12451,36268W100,183528,20120914,20120905,2012,183528
KNOTT DAVID M,ESSEX RENTAL CORP.,479,93230,44863820,183480,20090112,20081231,2009,183480
RED OAK PARTNERS LLC,ISSUER DIRECT CORP,300,75754,46520M105,183139,20130829,20130822,2013,183139
MILLENNIUM MANAGEMENT LLC,"MYREXIS, INC.",153,92941,62856H10,183101,20120131,-99,2012,183101
FIRST EAGLE INVESTMENT MANAGEMENT LLC,"MYRIAD PHARMACEUTICALS, INC.",409,92941,62856H10,183101,20091224,20091218,2009,183101
MSMB CAPITAL MANAGEMENT LLC,"MYREXIS, INC.",786,92941,62856H10,183101,-99,-99,,183101
SC FUND MANAGEMENT LLC,"TRANSCEPT PHARMACEUTICALS, INC.",833,91279,89354M10,182383,20130814,-99,2013,182383
MSMB CAPITAL MANAGEMENT LLC,"TRANSCEPT PHARMACEUTICALS, INC.",786,91279,89354M10,182383,-99,-99,,182383
LION FUND LP,PENN MILLERS HOLDING CORP,205,93086,70756110,182307,20110429,20110419,2011,182307
PERRY CORP,FACET BIOTECH CORP,53,92869,30303Q10,182015,20100319,20100310,2010,182015
BVF PARTNERS,FACET BIOTECH CORP,12,92869,30303Q10,182015,20090929,20090925,2009,182015
BAUPOST GROUP LLC,FACET BIOTECH CORP,313,92869,30303Q10,182015,20090408,20090408,2009,182015
LLOYD I MILLER III,"GIGOPTIX, INC.",582,13340,37517Y103,182012,20120103,20120103,2012,182012
SAC CAPITAL MANAGEMENT,CLEARWATER PAPER CORP,67,92854,18538R103,181931,20120502,20120501,2012,181931
MOUNT KELLETT CAPITAL MANAGEMENT LP,CLEARWIRE CORP /DE,710,91892,18538Q105,181904,20121101,20121101,2012,181904
PARDUS CAPITAL MANAGEMENT LP,CLEARWIRE CORPORATION,50,91892,18538Q10,181904,-99,-99,,181904
AURELIUS CAPITAL MANAGEMENT LP,CLEARWIRE CORPORATION,642,91892,18538Q10,181904,-99,-99,,181904
STONEPINE CAPITAL MANAGEMENT LLC,CORNERSTONE THERAPEUTICS INC.,817,90183,21924P10,181617,-99,-99,,181617
STILLWELL PARTNERS,ANCHOR BANCORP,76,12498,32838104,181515,20120507,20120425,2012,181515
BLUE HARBOUR GROUP LP,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",135,87078,01988P108,181104,20141010,20140930,2014,181104
HEALTHCOR MANAGEMENT LP,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",788,87078,01988P10,181104,20120516,20120507,2012,181104
FJ CAPITAL LLC,FIRST SAVINGS FINANCIAL GROUP INC,451,92809,3.36E+14,180958,20110103,20110104,2011,180958
STILLWELL PARTNERS,FIRST SAVINGS FINANCIAL GROUP INC,76,92809,3.36E+14,180958,20081229,20081219,2008,180958
NIERENBERG INVESTMENT MANAGEMENT CO,ROSETTA STONE INC,19,92913,777780107,180905,20140616,20140606,2014,180905
OSMIUM SPARTAN LP,ROSETTA STONE INC,197,92913,777780107,180905,20140821,20140821,2014,180905
GAMCO ASSET MANAGEMENT,ASCENT CAPITAL GROUP INC,105,92777,43632108,180821,20081215,20081204,2008,180821
SACC PARTNERS LLC,"STR HOLDINGS, INC.",68,93111,78478V100,180597,20140311,20140311,2014,180597
DISCOVERY GROUP LLC,"STR HOLDINGS, INC.",21,93111,78478V100,180597,20120719,20120710,2012,180597
RMCP GP LLC,"STR HOLDINGS, INC.",266,93111,78478V10,180597,20110815,20110805,2011,180597
KINGSTOWN CAPITAL MANAGEMENT LP,"CPEX PHARMACEUTICALS, INC.",477,92717,12620N10,180231,20110224,20100217,2011,180231
MANGROVE PARTNERS,"CPEX PHARMACEUTICALS, INC.",879,92717,12620N10,180231,20110131,20110131,2011,180231
ARCADIA OPPORTUNITY MASTER FUND LTD,"CPEX PHARMACEUTICALS, INC.",407,92717,12620N10,180231,20100107,20091228,2010,180231
STEEL PARTNERS,FORBES ENERGY SERVICES LTD.,74,12963,34514310,180145,20130315,20130305,2013,180145
STILLWELL PARTNERS,"MALVERN BANCORP, INC.",76,92685,561409103,180109,20130506,20130430,2013,180109
FINANCIAL EDGE FUND,"MALVERN BANCORP, INC.",122,92685,561409103,180109,20121022,20121012,2012,180109
BLUE HARBOUR GROUP LP,"RACKSPACE HOSTING, INC.",135,92765,750086100,179925,20140818,20140808,2014,179925
KUDU PARTNERS LP,EMC METALS CORP.,603,-99,268665106,179903,20140213,20130314,2014,179903
OSMIUM SPARTAN LP,"VITACOST.COM, INC.",197,93047,92847A200,179818,20140114,20140114,2014,179818
WYNNEFIELD PARTNERS SMALL CAP VALUE LP,"VITACOST.COM, INC.",86,93047,92847A20,179818,-99,-99,,179818
AVENUE CAPITAL MANAGEMENT II,VERSO PAPER CORP.,92,92670,92531L10,179817,20110211,20110202,2011,179817
BAUPOST GROUP LLC,"RHI ENTERTAINMENT, INC.",313,92722,7495T104,179783,20081024,20081024,2008,179783
SAGEVIEW CAPITAL LP,RESOLUTE ENERGY CORP,645,93031,76116A108,179782,20130520,20130509,2013,179782
MAIN STREET PARTNERS LP,RESOLUTE ENERGY CORP,73,93031,76116A10,179782,20091005,20090925,2009,179782
TRIAN FUND MANAGEMENT,"DR PEPPER SNAPPLE GROUP, INC.",78,92168,2.61E+14,179700,20081219,20081209,2008,179700
BREEDEN CAPITAL MANAGEMENT LLC,"HILLENBRAND, INC.",198,92597,43157110,179657,20080922,20080910,2008,179657
MILLENNIUM MANAGEMENT LLC,"IBASIS, INC.",153,87392,45073220,179459,20070806,20070727,2007,179459
LOEB ARBITRAGE FUND,IBASIS INC,38,87392,45073210,179459,20040624,20040618,2004,179459
DISCOVERY GROUP LLC,CARDIONET INC,21,92587,14159L10,179441,20100308,20100224,2010,179441
DISCOVERY GROUP LLC,CARDIOVASCULAR SYSTEMS INC,21,91365,14161910,179413,20110817,20110811,2011,179413
JACOBS ASSET MANAGEMENT LLC,"CAPE BANCORP, INC.",469,92555,13920910,179361,20110817,20110816,2011,179361
TRINAD CAPITAL LP,"ATRINSIC, INC.",79,84321,04964C20,179360,20061031,20061024,2006,179360
STILLWELL PARTNERS,"SOUND FINANCIAL BANCORP, INC.",76,13561,83607A10,179234,20120823,20120822,2012,179234
STANDARD GENERAL LP,"AMERICAN APPAREL, INC.",656,91136,2385010,179110,20140707,-99,2014,179110
POTOMAC CAPITAL PARTNERS II LP,MEMSIC INC,131,92465,586264103,179082,20121031,20121026,2012,179082
SELIGMAN SPECTRUM FOCUS (MASTER) FUND,MEMSIC INC,527,92465,58626410,179082,20100412,20100409,2010,179082
SPRINGOWL ASSOCIATES LLC,FORESTAR GROUP INC.,739,92478,346233109,179077,20141114,20141106,2014,179077
COLUMBIA PACIFIC ADVISORS LLC,CHINAEDU CORP,435,92458,16945L107,179022,20121218,20121128,2012,179022
NEW VERNON AEGIR MASTER FUND LTD,CHINAEDU CORP,500,92458,16945L10,179022,20110425,20110425,2011,179022
FINANCIAL EDGE FUND,FIRST ADVANTAGE BANCORP,122,92434,31848L104,179003,20130516,20130508,2013,179003
TONTINE ASSOCIATES LLC,WHEELING PITTSBURGH CORP DE,170,89874,96314230,178971,20061013,20061013,2006,178971
KNOTT DAVID M,"CHINA CERAMICS CO., LTD",479,92475,G2113X11,178906,20111004,20110926,2011,178906
COOPERMAN LEON G,CHIMERA INVESTMENT CORP,129,92385,16934Q109,178862,20140224,20140224,2014,178862
VALUEACT CAPITAL MANAGEMENT LP,CHIMERA INVESTMENT CORP,81,92385,16934Q10,178862,20080424,20080414,2008,178862
CARLSON CAPITAL LP,"ENERGYSOLUTIONS, INC.",276,92389,29275620,178846,20130110,20130102,2013,178846
VALUEACT CAPITAL MANAGEMENT LP,"ENERGYSOLUTIONS, INC.",81,92389,29275620,178846,20100329,20100319,2010,178846
STILLWELL PARTNERS,UNITED INSURANCE HOLDINGS CORP.,76,13712,91071010,178823,20110929,20110928,2011,178823
WEXFORD MANAGEMENT LLC,ICX TECHNOLOGIES INC,235,92435,44934T10,178805,20090910,20090908,2009,178805
CLINTON GROUP INC,NEUTRAL TANDEM INC,181,92454,64128B108,178767,20130131,20130130,2013,178767
VALUEACT CAPITAL MANAGEMENT LP,NEUTRAL TANDEM INC,81,92454,64128B10,178767,20100513,20100505,2010,178767
MMI INVESTORS,GENOPTIX INC,43,92307,37243V10,178738,20100204,20100126,2010,178738
ICAHN CARL,CVR ENERGY INC,30,92326,12662P108,178672,20120113,20120103,2012,178672
BROOKSIDE CAPITAL PARTNERS FUND LP,"STREAM GLOBAL SERVICES, INC.",420,92394,86323M20,178633,20090512,20071017,2009,178633
MILLENNIUM MANAGEMENT LLC,"STREAM GLOBAL SERVICES, INC.",153,92394,86323M10,178633,20081029,20081017,2008,178633
O-CAP MANAGEMENT LP,"FIRST FINANCIAL NORTHWEST, INC.",826,92303,32022K10,178545,20120103,20111222,2012,178545
STILLWELL PARTNERS,"FIRST FINANCIAL NORTHWEST, INC.",76,92303,32022K10,178545,20110912,20110831,2011,178545
GAMCO ASSET MANAGEMENT,ZEP INC.,105,92378,98944B108,178538,20071113,20071102,2007,178538
VALUEACT CAPITAL MANAGEMENT LP,MSCI INC.,81,92402,00724F101,178507,20121128,20121126,2012,178507
MARXE AUSTIN W & GREENHOUSE DAVID M,CATALYTICA ENERGY SYSTEMS INC,175,88830,14888410,178461,20061213,20061130,2006,178461
AMH EQUITY LLC,SOUTHERN CALIFORNIA EDISON,221,68145,78387320,178153,20030121,20030114,2003,178153
FOSUN INTERNATIONAL LTD,"PERFECT WORLD CO., LTD.",696,92204,71372U104,178012,20120706,20120626,2012,178012
GLENHILL ADVISORS LLC,"YONGYE INTERNATIONAL, INC.",192,93048,98607B106,178003,20131008,20131008,2013,178003
VALUEACT CAPITAL MANAGEMENT LP,ALLISON TRANSMISSION HOLDINGS INC,81,13284,01973R101,177966,20131113,20131111,2013,177966
CAPTION PARTNERS LP,"HHGREGG, INC.",758,92177,42833L10,177882,-99,-99,,177882
MILLENNIUM MANAGEMENT LLC,"VAUGHAN FOODS, INC.",153,92199,92241M10,177795,20070709,20070628,2007,177795
SAGEVIEW CAPITAL LP,"COMSCORE, INC.",645,92102,20564W105,177780,20120529,20120518,2012,177780
CHESTNUT RIDGE PARTNERS LP,"PIPEX PHARMACEUTICALS, INC.",429,92130,72415320,177764,20081009,20080929,2008,177764
FINE CAPITAL PARTNERS,MF GLOBAL HOLDINGS LTD.,104,92190,55277J10,177745,20110818,20110808,2011,177745
CARLSON CAPITAL LP,BOISE INC.,276,92105,09746Y10,177697,20130924,20130916,2013,177697
MILLENNIUM MANAGEMENT LLC,"WESTWAY GROUP, INC.",153,93195,96169B10,177674,20090817,20090807,2009,177674
KNOTT DAVID M,"WESTWAY GROUP, INC.",479,93195,96169B10,177674,20091002,20090928,2009,177674
NISSWA ACQUISITION MASTER FUND LTD,"WESTWAY GROUP, INC.",566,93195,96169B10,177674,20090817,20090807,2009,177674
SAB CAPITAL MANAGEMENT,CARE INVESTMENT TRUST INC.,524,92111,14165710,177640,20081204,-99,2008,177640
GOLDENTREE ASSET MANAGEMENT LP,CARE INVESTMENT TRUST INC.,789,92111,14165710,177640,20080519,-99,2008,177640
DISCOVERY GROUP LLC,"INTERCLICK, INC.",21,93136,45848320,177576,20110606,20110526,2011,177576
MORNINGSIDE VALUE INVESTORS LLC,"FORTRESS INTERNATIONAL GROUP, INC.",109,92218,34958D10,177528,20060830,20060817,2006,177528
SANDLER CAPITAL MANAGEMENT,LOUISIANA BANCORP INC,156,92201,54619P10,177314,20070807,20070717,2007,177314
VALUEACT CAPITAL MANAGEMENT LP,BWAY HOLDING CO,81,92109,12429T10,177288,20071121,20071114,2007,177288
MILLENNIUM MANAGEMENT LLC,HELICOS BIOSCIENCES CORPORATION,153,92042,42326R10,177284,20080303,20080220,2008,177284
MOAB CAPITAL PARTNERS LLC,BIODEL INC,154,92032,09064M10,177112,20081201,20081121,2008,177112
STILLWELL PARTNERS,"DELANCO BANCORP, INC.",76,-99,245535109,177062,20131028,20131018,2013,177062
LOEB ARBITRAGE FUND,ALPHA SECURITY GROUP CORP,38,92106,02078A10,177005,20090114,20090113,2009,177005
BECKER STEVEN R,RESPONSE GENETICS INC,297,92101,76123U10,176963,20100310,20090305,2010,176963
MARXE AUSTIN W & GREENHOUSE DAVID M,RESPONSE GENETICS INC ,175,92101,761230105,176963,20090309,20090302,2009,176963
SMITH DAVID E,"ZOO ENTERTAINMENT, INC",535,12032,98978F20,176954,20100202,20100115,2010,176954
