Fund Name,Target Name,FundID,Permno,NCUSIP,Gvkey,Date13D,DateCross5pct
STARBOARD VALUE LP,"EGL, INC.",539,82697,26848410,61640,-99,-99
STARBOARD VALUE LP,ELKCORP,539,44185,28745610,4251,20070118,-99
STARBOARD VALUE LP,"EXTREME NETWORKS, INC.",539,86822,30226D10,119574,20110422,20110412
STARBOARD VALUE LP,FRIEDMAN'S INC.,539,79695,35843810,28997,20050816,20050808
STARBOARD VALUE LP,"GIANT INDUSTRIES, INC.",539,75881,37450810,19427,20070608,20070529
STARBOARD VALUE LP,HYPERCOM CORPORATION,539,85611,44913M10,65527,20070814,-99
STARBOARD VALUE LP,"LENOX GROUP, INC.",539,79328,52626210,28414,20081126,-99
STARBOARD VALUE LP,LIFE FINANCIAL CORPORATION,539,85020,53184P10,64979,19990806,19990729
STARBOARD VALUE LP,"PEOPLE'S BANCSHARES, INC.",539,10780,70979510,16992,19990818,-99
STARBOARD VALUE LP,QUINTUS CORPORATION,539,87411,74879810,126459,20020918,20020826
STARBOARD VALUE LP,"STEWART & STEVENSON SERVICES, INC.",539,72961,86034210,10085,20060403,-99
STARBOARD VALUE LP,SYMS CORP.,539,65429,87155110,-99,20070402,-99
STARBOARD VALUE LP,"TESSERA TECHNOLOGIES, INC.",539,89922,88164L10,156153,-99,-99
STARBOARD VALUE LP,THE BABCOCK & WILCOX COMPANY,539,10220,05615F10,185229,-99,-99
STARBOARD VALUE LP,"THE PEP BOYS - MANNY, MOE & JACK",539,35238,71327810,8475,20070330,-99
STARBOARD VALUE LP,YAHOO! INC.,539,83435,98433210,62634,-99,-99
STONERISE CAPITAL MANAGEMENT LLC,CASH STORE FINANCIAL SERVICES INC.,540,93404,14756F10,140621,20100617,20100607
STONERISE CAPITAL MANAGEMENT LLC,INFOGROUP INC.,540,77347,45670G10,24934,-99,-99
STRATEGIC VALUE PARTNERS LLC,CHEMTURA CORP,541,38420,16389310,3607,20091008,20090928
SUMMIT CAPITAL MANAGEMENT LLC,VERAMARK TECHNOLOGIES INC,542,90310,92335110,7576,20050524,20050516
SUMMIT CAPITAL MANAGEMENT LLC,LABRANCHE & CO INC,542,87140,50544710,123097,20110415,20110401
SUTTONBROOK CAPITAL MANAGEMENT LP,UNITED RENTALS INC /DE,543,85663,91136310,66065,20071204,20071130
TAC CAPITAL LLC,STERLING BANCSHARES INC,544,78009,85890710,25860,20101108,20101104
TALON ASSET MANAGEMENT,HIGHBURY FINANCIAL INC,545,-99,42982Y109,164637,20090625,20090625
TACONIC CAPITAL ADVISORS,CEPHALON INC,546,76625,15670810,23945,20110415,20110405
TACONIC CAPITAL ADVISORS,"CA, INC.",546,25778,12673P105,003310,20120111,20120106
TACONIC CAPITAL ADVISORS,"WPX ENERGY, INC.",546,13141,98212B103,187128,20130520,20130517
TAMALPAIS MASTER FUND LTD,"SERVIDYNE, INC.",547,10568,81765M10,1082,20080519,20080515
TCS CAPITAL GP LLC,INFORMATION SERVICES GROUP INC.,548,91754,45675Y10,176251,20080609,20080131
TERRIER PARTNERS LP,HAMPSHIRE GROUP LTD,549,77685,40885910,25399,20111109,20111101
TIGER GLOBAL LP,LINKEDIN CORP,550,12742,53578A10,186342,20110603,20110603
TOCQUEVILLE ASSET MANAGEMENT LP,LANDEC CORP \CA\,551,83148,51476610,62169,20090206,20081231
TOWLE & CO,"PROLIANCE INTERNATIONAL, INC.",552,82242,74340R10,61376,20070112,20070112
TOWLE & CO,VIRCO MFG CORPORATION,552,59627,92765110,11185,20090102,20081218
TRACE PARTNERS LP,ASTROTECH CORP \WA\,553,82747,4648410,61766,20090710,20090710
TRELLUS MANAGEMENT COMPANY LLC,ELITE PHARMACEUTICALS INC /DE/,554,87580,28659T20,106261,20090306,20081016
TRIVIUM CAPITAL MANAGEMENT LLC,"SOURCEFORGE, INC",555,87498,83616W10,127282,20080215,20080214
TYNDALL CAPITAL PARTNERS LP,"FURIEX PHARMACEUTICALS, INC.",556,93392,36106P10,184961,20100628,20100616
VICIS CAPITAL LLC,AMBIENT CORP /NY,557,12959,02318N20,105346,20081201,20081121
VICIS CAPITAL LLC,CHINA HYDROELECTRIC CORP,557,93202,16949D10,184018,20100208,20100125
VICIS CAPITAL LLC,"GLOWPOINT, INC.",557,81761,379887201,060888,20130502,20130501
VIKING ASSET MANAGEMENT LLC,INCREDIMAIL LTD.,558,91082,M5364E10,165923,20071031,20071023
VINTAGE CAPITAL MANAGEMENT LLC,INTEGRAL SYSTEMS INC /MD/,559,76372,45810H10,22059,20100716,20100706
VINTAGE CAPITAL MANAGEMENT LLC,MICRONETICS INC,559,11903,59512510,14417,20110812,20110802
VINTAGE CAPITAL MANAGEMENT LLC,"AARON'S, INC.",559,10517,002535300,1076,20140207,20140130
VINTAGE CAPITAL MANAGEMENT LLC,IEC ELECTRONICS CORP.,559,78892,44949L105,5831,20140213,20140204
VN CAPITAL MANAGEMENT LLC,AMERICAN BANK NOTE HOLOGRAPHICS INC,560,86219,2437710,112401,20070109,20070103
VN CAPITAL MANAGEMENT LLC,ESCALADE INC,560,33532,29605610,4448,20080915,20080908
VN CAPITAL MANAGEMENT LLC,BREEZE-EASTERN CORP,560,61209,10676410,10692,20101126,20101122
VN CAPITAL MANAGEMENT LLC,TEXAS VANGUARD OIL CO,560,75767,88285310,10509,20110920,20110915
VN CAPITAL MANAGEMENT LLC,GAMING PARTNERS INTERNATIONAL CORP,560,80357,36467A107,029964,20130625,20130621
VN CAPITAL MANAGEMENT LLC,"SCHWEITZER-MAUDUIT INTERNATIONAL, INC.",560,82649,80854110,61519,-99,-99
WATER ASSET MANAGEMENT LLC,INSITUFORM TECHNOLOGIES INC,561,44274,45766710,5978,20080117,20080107
WEISS ASSET MANAGEMENT LP,"GLOBALOPTIONS GROUP, INC.",562,92297,37946D20,164258,20101029,20101019
WEST CREEK CAPITAL LLC,CAPITAL SENIOR LIVING CORP,563,85419,14047510,65732,20071205,20071203
WEST FACE CAPITAL INC,GOLD RESERVE INC,564,39256,38068N10,5205,20090925,20090917
WEST FACE CAPITAL INC,SUNOPTA INC.,564,78418,8676EP108,012761,20120223,20120223
ZAM HOLDINGS LP,COSI INC,565,89567,22122P10,148249,20031204,20031124
NISSWA ACQUISITION MASTER FUND LTD,"WESTWAY GROUP, INC.",566,93195,96169B10,177674,20090817,20090807
PESSIN NORMAN H,"NAUTILUS, INC.",574,86889,63910B102,027760,20120227,20120224
PESSIN NORMAN H,WELLS GARDNER ELECTRONICS CORP,574,63829,949765101,011361,20120302,20120301
PESSIN NORMAN H,"WORLD ENERGY SOLUTIONS, INC.",574,92921,98145W208,176068,20130424,20130423
PESSIN NORMAN H,DAEGIS INC.,574,83704,233720101,063057,20131127,20131126
PESSIN NORMAN H,IMAGE SENSING SYSTEMS INC,574,81624,45244C104,031775,20140430,20140429
PESSIN NORMAN H,INSIGNIA SYSTEMS INC/MN,574,76934,45765Y105,024204,20140529,20140528
PESSIN NORMAN H,SHARPS COMPLIANCE CORP,574,92935,820017101,112819,20140605,20140604
PESSIN NORMAN H,"DIADEXUS, INC.",574,-99,25245P106,121819,20140905,20140904
PESSIN NORMAN H,INNOVATIVE SOLUTIONS & SUPPORT INC,574,88534,45769N105,135844,20141021,20141020
PESSIN NORMAN H,CAS MEDICAL SYSTEMS INC,574,86191,124769209,011805,20150219,20150219
LLOYD I MILLER III,GENCOR INDUSTRIES INC,582,52250,368678108,007185,20070619,20070619
LLOYD I MILLER III,EMERSON RADIO CORP,582,81124,291087203,004322,20120522,20120510
LLOYD I MILLER III,"GIGOPTIX, INC.",582,13340,37517Y103,182012,20120103,20120103
LLOYD I MILLER III,QUALSTAR CORP,582,88370,74758R109,133949,20120927,20120921
LLOYD I MILLER III,DATA I/O CORP,582,28629,237690102,003761,20121001,20120920
LLOYD I MILLER III,TRANS WORLD CORP,582,-99,89336R207,031189,20130215,20130208
LLOYD I MILLER III,MFC INDUSTRIAL LTD.,582,84820,55278T105,006233,20131206,-99
LLOYD I MILLER III,JACADA LTD,582,87360,M6184R119,125114,20131231,20131224
LLOYD I MILLER III,LAZARE KAPLAN INTERNATIONAL INC,582,61145,521078105,006619,20140331,20140319
LLOYD I MILLER III,COSI INC,582,89567,22122P200,148249,20140418,20140414
LLOYD I MILLER III,CAPSTONE THERAPEUTICS CORP.,582,-99,14068 E10,027765,20140508,20140502
LLOYD I MILLER III,"SILICON STORAGE TECHNOLOGY, INC.",582,82619,82705710,61592,20081119,-99
LLOYD I MILLER III,"FAIRMARKET, INC.",582,87768,305158107,132799,20020213,-99
LLOYD I MILLER III,UNITED AMERICAN HEALTHCARE CORPORATION,582,76622,90934C105,23940,20080806,-99
LLOYD I MILLER III,CONCURRENT COMPUTER CORPORATION,582,51829,206710402,7092,20120525,20120524
LLOYD I MILLER III,"DITECH NETWORKS, INC.",582,86959,25500T108,121153,20090622,-99
LLOYD I MILLER III,EMERSON RADIO CORP.,582,81124,291087203,4322,-99,-99
LLOYD I MILLER III,EMERSON RADIO CORP.,582,81124,291087203,4322,-99,-99
LLOYD I MILLER III,GENE LOGIC INC.,582,85549,368689105,-99,20070213,-99
LLOYD I MILLER III,INFOCUS CORPORATION,582,76507,45665B106,23528,20081119,20081105
LLOYD I MILLER III,"KITTY HAWK, INC.",582,90308,498326206,63755,20051123,-99
LLOYD I MILLER III,"MAIR HOLDINGS, INC.",582,53082,560635104,7278,20070918,-99
LLOYD I MILLER III,"MRV COMMUNICATIONS, INC.",582,78179,553477100,-99,20110908,20110901
LLOYD I MILLER III,NMS COMMUNICATIONS CORPORATION,582,80257,629248105,-99,20081021,-99
LLOYD I MILLER III,NOVOSTE CORPORATION,582,83535,67010C209,-99,20060224,-99
LLOYD I MILLER III,SELECTICA INC.,582,87814,816288104,-99,20091201,-99
LLOYD I MILLER III,THE MED-DESIGN CORPORATION,582,81721,583926100,60796,20060109,20051216
